Recency,Frequency,Monetary,Rank,R_Quartile,F_Quartile,M_Quartile,RFMScore
194,1,17.700000000000003,3260.0,1,1,1,111
177,1,17.700000000000003,3260.0,1,1,1,111
372,1,17.700000000000003,3260.0,1,1,1,111
264,1,17.700000000000003,3260.0,1,1,1,111
249,1,17.700000000000003,3260.0,1,1,1,111
142,1,17.700000000000003,3260.0,1,1,1,111
276,1,17.700000000000003,3260.0,1,1,1,111
287,1,17.700000000000003,3260.0,1,1,1,111
329,1,17.700000000000003,3260.0,1,1,1,111
332,1,17.700000000000003,3260.0,1,1,1,111
184,1,17.700000000000003,3260.0,1,1,1,111
205,1,17.700000000000003,3260.0,1,1,1,111
170,1,17.700000000000003,3260.0,1,1,1,111
266,1,17.700000000000003,3260.0,1,1,1,111
155,1,17.700000000000003,3260.0,1,1,1,111
186,1,17.700000000000003,3260.0,1,1,1,111
255,1,17.700000000000003,3260.0,1,1,1,111
225,1,17.700000000000003,3260.0,1,1,1,111
219,1,17.700000000000003,3260.0,1,1,1,111
365,1,17.700000000000003,3260.0,1,1,1,111
351,1,17.700000000000003,3260.0,1,1,1,111
183,1,17.700000000000003,3260.0,1,1,1,111
266,1,17.700000000000003,3260.0,1,1,1,111
296,1,17.700000000000003,3260.0,1,1,1,111
220,1,17.700000000000003,3260.0,1,1,1,111
200,1,17.4,3303.5,1,1,1,111
294,1,17.4,3303.5,1,1,1,111
373,1,17.4,3303.5,1,1,1,111
371,1,17.4,3303.5,1,1,1,111
238,1,17.4,3303.5,1,1,1,111
366,1,17.4,3303.5,1,1,1,111
166,1,17.4,3303.5,1,1,1,111
260,1,17.4,3303.5,1,1,1,111
252,1,17.4,3303.5,1,1,1,111
298,1,17.4,3303.5,1,1,1,111
232,1,17.4,3303.5,1,1,1,111
372,1,17.4,3303.5,1,1,1,111
316,1,17.4,3303.5,1,1,1,111
242,1,17.4,3303.5,1,1,1,111
263,1,17.4,3303.5,1,1,1,111
260,1,17.4,3303.5,1,1,1,111
373,1,17.4,3303.5,1,1,1,111
218,1,17.25,3326.0,1,1,1,111
261,1,17.0,3339.0,1,1,1,111
